,Unnamed: 0,ID,OTAZKA,PEDAGOG,HODNOTA_CLOB_OCISTENO,LANG,token,lemma,pos,DetectSentiment,SENTIMENT,lemma_cleaned,token_cleaned,pos_cleaned
4897,4897,1457729,84,,praktičnost,['cs'],['practicality'],['practicality'],['NOUN'],na'],Positive,practicality,practicality,NOUN
4898,4898,1457731,95,,nepoznal jsem osobně spolužáky,['cs'],"['I' ""didn't"" 'meet' 'my' 'classmates' 'personally']",['meet' 'classmate' 'personally'],['PRON' 'VERB' 'VERB' 'PRON' 'NOUN' 'ADV'],negative,Negative,meet classmate personally,"I ""didnt"" meet my classmates personally",PRON VERB VERB PRON NOUN ADV
4899,4899,1457733,97,,možnost pohodlného kontaktování učitele,['cs'],['possibility' 'of' 'comfortable' 'contacting' 'the' 'teacher'],['possibility' 'comfortable' 'contact' 'teacher'],['NOUN' 'ADP' 'ADJ' 'VERB' 'DET' 'NOUN'],positive,Positive,possibility comfortable contact teacher,possibility of comfortable contacting the teacher,NOUN ADP ADJ VERB DET NOUN
4900,4900,1452521,90,,"Látka se nejspíš překrývá s dalším matematickým předmětem Matematické základy informatiky, ten jsem však v prvním semestru zapsaný neměl a tak nemohu objektivně hodnotit.",['cs'],"['The' 'substance' 'probably' 'overlaps' 'with' 'another' 'mathematical'
 'subject' 'Mathematical' 'foundations' 'of' 'computer' 'science' ','
 'but' 'I' 'did' 'not' 'have' 'it' 'registered' 'in' 'the' 'first'
 'semester' 'and' 'so' 'I' 'cannot' 'objectively' 'evaluate' 'it' '.']","['substance' 'overlap' 'mathematical' 'subject' 'Mathematical'
 'foundation' 'computer' 'science' ',' 'register' 'semester' 'objectively'
 'evaluate' '.']","['DET' 'NOUN' 'ADV' 'VERB' 'ADP' 'DET' 'ADJ' 'NOUN' 'ADJ' 'NOUN' 'ADP'
 'NOUN' 'NOUN' 'PUNCT' 'CCONJ' 'PRON' 'AUX' 'PART' 'VERB' 'PRON' 'VERB'
 'ADP' 'DET' 'ADJ' 'NOUN' 'CCONJ' 'ADV' 'PRON' 'VERB' 'ADV' 'VERB' 'PRON'
 'PUNCT']",negative,Neutral,"substance overlap mathematical subject Mathematical
 foundation computer science , register semester objectively
 evaluate .","The substance probably overlaps with another mathematical
 subject Mathematical foundations of computer science ,
 but I did not have it registered in the first
 semester and so I cannot objectively evaluate it .","DET NOUN ADV VERB ADP DET ADJ NOUN ADJ NOUN ADP
 NOUN NOUN PUNCT CCONJ PRON AUX PART VERB PRON VERB
 ADP DET ADJ NOUN CCONJ ADV PRON VERB ADV VERB PRON
 PUNCT"
4901,4901,1457724,83,,"nenechávat v tom studenty ,,plavat'' a vysvětlit více ,,jak to dělat správně''",['cs'],"['not' 'let' 'students' 'in' 'it' '""' 'swim' '""' 'and' 'explain' 'more'
 'how' 'to' 'do' 'it' 'right' '""']","['student' '""' 'swim' '""' 'explain' '""']","['PART' 'VERB' 'NOUN' 'ADP' 'PRON' 'PUNCT' 'NOUN' 'PUNCT' 'CCONJ' 'VERB'
 'ADJ' 'ADV' 'PART' 'VERB' 'PRON' 'ADV' 'PUNCT']",negative,Negative,"student "" swim "" explain ""","not let students in it "" swim "" and explain more
 how to do it right ""","PART VERB NOUN ADP PRON PUNCT NOUN PUNCT CCONJ VERB
 ADJ ADV PART VERB PRON ADV PUNCT"
4902,4902,1457726,90,,"myslím, že excel se bude brát v základech odborné práce",['cs'],"['I' 'think' 'that' 'excel' 'will' 'be' 'taken' 'on' 'the' 'basis' 'of'
 'professional' 'work']",['excel' 'basis' 'professional' 'work'],"['PRON' 'VERB' 'SCONJ' 'NOUN' 'AUX' 'AUX' 'VERB' 'ADP' 'DET' 'NOUN' 'ADP'
 'ADJ' 'NOUN']",negative,Neutral,excel basis professional work,"I think that excel will be taken on the basis of
 professional work","PRON VERB SCONJ NOUN AUX AUX VERB ADP DET NOUN ADP
 ADJ NOUN"
4903,4903,1453299,90,,"Získané znalosti jsem již uplatnil při vypracovávání semestrální práce z 4IZ110 a jsem pevně přesvědčen o tom, že je ještě v budoucnu využiji, ať už při studiu dalších předmětů nebo při psaní své bakalářské práce.",['cs'],"['I' 'have' 'already' 'applied' 'the' 'knowledge' 'gained' 'in' 'the'
 'production' 'of' 'the' ""semester's"" 'work' 'from' '4IZ110' 'and' 'I'
 'firmly' 'believe' 'that' 'I' 'will' 'still' 'use' 'it' 'in' 'the'
 'future' ',' 'whether' 'in' 'study']","['apply' 'knowledge' 'gain' 'production' ""semester's"" 'work' '4IZ110'
 'firmly' 'future' ',' 'study']","['PRON' 'AUX' 'ADV' 'VERB' 'DET' 'NOUN' 'VERB' 'ADP' 'DET' 'NOUN' 'ADP'
 'DET' 'NOUN' 'NOUN' 'ADP' 'NUM' 'CCONJ' 'PRON' 'ADV' 'VERB' 'SCONJ'
 'PRON' 'AUX' 'ADV' 'VERB' 'PRON' 'ADP' 'DET' 'NOUN' 'PUNCT' 'SCONJ' 'ADP'
 'NOUN']",negative,Neutral,"apply knowledge gain production ""semesters"" work 4IZ110
 firmly future , study","I have already applied the knowledge gained in the
 production of the ""semesters"" work from 4IZ110 and I
 firmly believe that I will still use it in the
 future , whether in study","PRON AUX ADV VERB DET NOUN VERB ADP DET NOUN ADP
 DET NOUN NOUN ADP NUM CCONJ PRON ADV VERB SCONJ
 PRON AUX ADV VERB PRON ADP DET NOUN PUNCT SCONJ ADP
 NOUN"
4904,4904,1452524,84,,"Přednášky byly spíše takové názorné a praktické než teoretické, což jsem po 3 semestrech na FIT ČVUT, kde se matematické předměty přednáší hodně do hloubky a akademickým stylem, rozhodně uvítal. Někomu, koho matematika baví a komu to matematicky myslí, to nemusí úplně vyhovovat, nicméně osobně bych řekl, že většina lidí matematiku moc v lásce nemá a za mě je tento způsob přednášení zcela adekvátní. Látka byla na přednáškách nejprve srozumitelně vysvětlena s důrazem na porozumění tématu, poté následovaly ukázkové příklady, které přednášející vyřešila a na konci neváhala odpovědět na případné dotazy.

Cvičení jsem díky distanční formě studia v důsledku pandemie vlastně neměl. Namísto nich nám paní Pasáčková každý týden nahrála do Teamsů videa, kde vysvětlovala probírané učivo na počítaných příkladech a často k těmto příkladům přikládala i další pomocné v pdf souboru, které sloužily k samostudiu a procvičení výpočtů. Opět musím říct, že mi tento styl výuky značně vyhovoval a díky tomu, že jsem si videa mohl přehrávat opakovaně, když jsem např. něco nepochopil, se mi podařilo tu matematiku jakž takž naučit. Protože jsem si pečlivě počítal i přiložené příklady navíc, neměl jsem pak u zkoušky problém a z matematiky, které jsem se původně ze všech předmětů v prvním semestru obával nejvíce (po předchozích zkušenostech s vysokoškolskou matematikou), se stal celkem záživný a ne až tak náročný předmět, jak bych čekal, ačkoliv jsem stále přípravou na ní strávil ze všech předmětů nejvíce času.",['cs'],"['The' 'lectures' 'were' 'more' 'graphic' 'and' 'practical' 'than'
 'theoretical' ',' 'which' 'I' 'did' 'after' '3' 'semesters' 'at' 'FIT'
 'CTU' 'where' 'mathematical' 'subjects' 'are' 'lectured' 'in' 'depth']","['lecture' 'graphic' 'practical' 'theoretical' ',' '3' 'semester' 'FIT'
 'CTU' 'mathematical' 'subject' 'lecture' 'depth']","['DET' 'NOUN' 'AUX' 'ADJ' 'ADJ' 'CCONJ' 'ADJ' 'ADP' 'ADJ' 'PUNCT' 'PRON'
 'PRON' 'AUX' 'ADP' 'NUM' 'NOUN' 'ADP' 'PROPN' 'PROPN' 'ADV' 'ADJ' 'NOUN'
 'AUX' 'VERB' 'ADP' 'NOUN']",positive,Positive,"lecture graphic practical theoretical , 3 semester FIT
 CTU mathematical subject lecture depth","The lectures were more graphic and practical than
 theoretical , which I did after 3 semesters at FIT
 CTU where mathematical subjects are lectured in depth","DET NOUN AUX ADJ ADJ CCONJ ADJ ADP ADJ PUNCT PRON
 PRON AUX ADP NUM NOUN ADP PROPN PROPN ADV ADJ NOUN
 AUX VERB ADP NOUN"
4905,4905,1452525,95,,"Měl jsem problémy s odevzdáváním průběžného testu v semestru, kdy na 4 příklady bylo vyhrazeno 30 minut a já kvůli technickým problémům měl tak na samotný výpočet pouze něco málo přes polovinu času, protože jsem posléze řešil převod nafocených příkladů do pdf a jejich odevzdání v digitální podobě. V důsledku toho jsem jeden příklad nestihl vypočítat a jen tak tak se mi podařilo test vůbec odevzdat. Naštěstí u zkouškového testu byl čas nastaven vcelku rozumně, a sice 70 minut na 8 příkladů, takže pak už se to dalo.",['cs'],"['I' 'had' 'problems' 'passing' 'on' 'the' 'midterm' 'exam' ',' 'when'
 'the' '4' 'examples' 'were' 'reserved' 'for' '30' 'minutes' 'and' 'I'
 'had' 'only' 'a' 'little' 'over' 'half' 'of' 'the' 'calculation' 'due'
 'to' 'technical' 'problems' '.']","['problem' 'pass' 'midterm' 'exam' ',' '4' 'example' 'reserve' '30'
 'minute' 'half' 'calculation' 'due' 'technical' 'problem' '.']","['PRON' 'VERB' 'NOUN' 'VERB' 'ADP' 'DET' 'NOUN' 'NOUN' 'PUNCT' 'ADV' 'DET'
 'NUM' 'NOUN' 'AUX' 'VERB' 'ADP' 'NUM' 'NOUN' 'CCONJ' 'PRON' 'VERB' 'ADV'
 'DET' 'ADJ' 'ADV' 'NOUN' 'ADP' 'DET' 'NOUN' 'ADP' 'ADP' 'ADJ' 'NOUN'
 'PUNCT']",positive,Negative,"problem pass midterm exam , 4 example reserve 30
 minute half calculation due technical problem .","I had problems passing on the midterm exam , when
 the 4 examples were reserved for 30 minutes and I
 had only a little over half of the calculation due
 to technical problems .","PRON VERB NOUN VERB ADP DET NOUN NOUN PUNCT ADV DET
 NUM NOUN AUX VERB ADP NUM NOUN CCONJ PRON VERB ADV
 DET ADJ ADV NOUN ADP DET NOUN ADP ADP ADJ NOUN
 PUNCT"
4906,4906,1453302,84,,"Přednášky byly spíše v první polovině semestru, poté už šlo hlavně o setkávání lidí z cvičení přednašející paní Radvákové, kde její studenti prezentovali svoje odborné postery, případně s ní něco konzultovali. 

Celkově vzato se mi přednášky líbily a byly zajímavé. Ačkoliv jsem nějaké základy odborné práce pochytil už na střední škole, tento předmět mi dal daleko více, než bych čekal. Například jsem se dozvěděl, jak správně dělat citace a odrážky, co je to rešerše a k čemu je dobrá, jaký je rozdíl mezi metodologií a metodikou, jakým způsobem zpracovávat prezentace, jak pracovat se zdroji, co je to informační etika a proč je tak důležitá apod.

Na cvičeních jsme se zprvu učili takové ty klasické věci týkající se úpravy textových dokumentů ve wordu, v čemž jsem už měl praxi ze střední školy, takže mi nedělala nějaké zásadní problémy. Dále jsem se však dozvěděl o LaTeXu, který bych bez průchodu tímto předmětem nejspíš nikdy neobjevil a jsem rád, že o něm padla zmínka, jelikož se mi zalíbil a už jsem ho i na nějaké úkoly do školy upotřebil, ať už šlo o menší dokumenty na 1 - 2 stránky nebo třeba o semestrální práci z 4IZ110, kterou jsem v něm vypracoval. Velkou část cvičení, hlavně v druhé polovině semestru, pak tvořila příprava na tvorbu odborného posteru a jeho následné prezentování, kdy v posledních cca 6 cvičeních měli vždy zhruba 3 - 4 studenti vyhrazený čas na prezentaci svojí práce.",['cs'],"['The' 'lectures' 'were' 'more' 'like' 'in' 'the' 'first' 'half' 'of'
 'the' 'semester' ',' 'then' 'it' 'was' 'mainly' 'about' 'meeting'
 'people' 'from' 'the' 'training' 'of' 'the' 'pre-sour' 'Mrs' 'Radváková'
 ',' 'where' 'her' 'students' 'presented' 'with']","['lecture' 'half' 'semester' ',' 'meet' 'people' 'training' 'pre-sour'
 'Mrs' 'Radváková' ',' 'student' 'present']","['DET' 'NOUN' 'AUX' 'ADV' 'ADP' 'ADP' 'DET' 'ADJ' 'NOUN' 'ADP' 'DET'
 'NOUN' 'PUNCT' 'ADV' 'PRON' 'AUX' 'ADV' 'SCONJ' 'VERB' 'NOUN' 'ADP' 'DET'
 'NOUN' 'ADP' 'DET' 'NOUN' 'PROPN' 'PROPN' 'PUNCT' 'ADV' 'PRON' 'NOUN'
 'VERB' 'ADP']",positive,Positive,"lecture half semester , meet people training pre-sour
 Mrs Radváková , student present","The lectures were more like in the first half of
 the semester , then it was mainly about meeting
 people from the training of the pre-sour Mrs Radváková
 , where her students presented with","DET NOUN AUX ADV ADP ADP DET ADJ NOUN ADP DET
 NOUN PUNCT ADV PRON AUX ADV SCONJ VERB NOUN ADP DET
 NOUN ADP DET NOUN PROPN PROPN PUNCT ADV PRON NOUN
 VERB ADP"
4907,4907,1453307,97,,"Online cvičení mi vyhovovala, protože jsem nemusel dojíždět na Jižní Město a v podstatě prezenčně v učebně bych dělal úplně to samé jako distančně, čili mi distanční cvika přišly zcela adekvátní.",['cs'],"['Online' 'exercise' 'was' 'good' 'for' 'me' 'because' 'I' ""didn't"" 'have'
 'to' 'commute' 'to' 'South' 'City' 'and' 'basically' 'in' 'the'
 'classroom' 'I' 'would' 'do' 'exactly' 'the' 'same' 'thing' 'as'
 'distance' ',' 'so']","['Online' 'exercise' 'good' 'commute' 'South' 'City' 'basically'
 'classroom' 'thing' 'distance' ',']","['ADJ' 'NOUN' 'AUX' 'ADJ' 'ADP' 'PRON' 'SCONJ' 'PRON' 'AUX' 'VERB' 'PART'
 'VERB' 'ADP' 'PROPN' 'PROPN' 'CCONJ' 'ADV' 'ADP' 'DET' 'NOUN' 'PRON'
 'AUX' 'VERB' 'ADV' 'DET' 'ADJ' 'NOUN' 'ADP' 'NOUN' 'PUNCT' 'ADV']",negative,Positive,"Online exercise good commute South City basically
 classroom thing distance ,","Online exercise was good for me because I ""didnt"" have
 to commute to South City and basically in the
 classroom I would do exactly the same thing as
 distance , so","ADJ NOUN AUX ADJ ADP PRON SCONJ PRON AUX VERB PART
 VERB ADP PROPN PROPN CCONJ ADV ADP DET NOUN PRON
 AUX VERB ADV DET ADJ NOUN ADP NOUN PUNCT ADV"
4908,4908,1467226,97,,pro tento predmet je vzdalena vyuka vhodnejsi nez vyuka ve skole,['Unknown'],"['for' 'this' 'pretette' 'is' 'a' 'retired' 'teaching' 'class' 'suitable'
 'for' 'teaching' 'school']",['pretette' 'retire' 'teach' 'class' 'suitable' 'teach' 'school'],"['ADP' 'DET' 'NOUN' 'AUX' 'DET' 'ADJ' 'NOUN' 'NOUN' 'ADJ' 'SCONJ' 'NOUN'
 'NOUN']",positive,Positive,pretette retire teach class suitable teach school,"for this pretette is a retired teaching class suitable
 for teaching school","ADP DET NOUN AUX DET ADJ NOUN NOUN ADJ SCONJ NOUN
 NOUN"
4909,4909,1454005,84,,"souvisí se studovaným oborem
",['cs'],['related' 'to' 'the' 'study' 'field'],['relate' 'study' 'field'],['VERB' 'ADP' 'DET' 'NOUN' 'NOUN'],positive,Positive,relate study field,related to the study field,VERB ADP DET NOUN NOUN
4910,4910,1468050,97,,Onlien přednášky,['cs'],['Onlien' 'lectures'],['Onlien' 'lecture'],['PROPN' 'NOUN'],na'],Positive,Onlien lecture,Onlien lectures,PROPN NOUN
4911,4911,1454727,84,,Je to z mého oboru,['cs'],"[""It's"" 'my' 'line' 'of' 'work' '.']",['line' 'work' '.'],['PRON' 'PRON' 'NOUN' 'ADP' 'NOUN' 'PUNCT'],negative,Positive,line work .,"Its"" my line of work .",PRON PRON NOUN ADP NOUN PUNCT
4912,4912,1454729,97,,"Přednášky i cvičení se nahrávali, dostávali jsme úkoly k řešení",['cs'],"['Lectures' 'and' 'exercises' 'were' 'recorded' ',' 'we' 'were' 'given'
 'tasks' 'to' 'solve']","['Lectures' 'exercise' 'record' ',' 'task' 'solve']","['NOUN' 'CCONJ' 'NOUN' 'AUX' 'VERB' 'PUNCT' 'PRON' 'AUX' 'VERB' 'NOUN'
 'ADP' 'VERB']",positive,Positive,"Lectures exercise record , task solve","Lectures and exercises were recorded , we were given
 tasks to solve","NOUN CCONJ NOUN AUX VERB PUNCT PRON AUX VERB NOUN
 ADP VERB"
4915,4915,1456463,95,,Odhliadnuc od fyzického kontaktu ma v tomto momente nič nenapadá.,['Unknown'],"['The' 'deflector' 'of' 'physical' 'contact' 'has' 'no' 'idea' 'at' 'this'
 'point' '.']",['deflector' 'physical' 'contact' 'idea' 'point' '.'],"['DET' 'NOUN' 'ADP' 'ADJ' 'NOUN' 'VERB' 'DET' 'NOUN' 'ADP' 'DET' 'NOUN'
 'PUNCT']",positive,Negative,deflector physical contact idea point .,"The deflector of physical contact has no idea at this
 point .","DET NOUN ADP ADJ NOUN VERB DET NOUN ADP DET NOUN
 PUNCT"
4916,4916,1457905,83,,nic,['Unknown'],['Nothing'],[],['PRON'],positive,Negative,,Nothing,PRON
4917,4917,1457911,84,,dá studentovi obecný rozhled v ekonomii,['Unknown'],['gives' 'the' 'student' 'a' 'general' 'perspective' 'in' 'economics'],['student' 'general' 'perspective' 'economics'],['VERB' 'DET' 'NOUN' 'DET' 'ADJ' 'NOUN' 'ADP' 'NOUN'],positive,Positive,student general perspective economics,gives the student a general perspective in economics,VERB DET NOUN DET ADJ NOUN ADP NOUN
4919,4919,1469923,84,,objektivnost,['Unknown'],['objectivity'],['objectivity'],['NOUN'],na'],Positive,objectivity,objectivity,NOUN
4920,4920,1452578,83,,"Mohlo by se zlepšit například to, že už celá karanténa skončí a předmět bude normálně vyučován :D ale to bohužel není v kompetenci školy ani vyučujících, proto nějak nechápu smysl otevírání ankety zrovna k tomuto předmětu... ",['cs'],"['For' 'example' ',' 'the' 'whole' 'quarantine' 'could' 'be' 'improved'
 'and' 'the' 'course' 'will' 'normally' 'be' 'taught:D' 'but'
 'unfortunately' ',' 'this' 'is' 'not' 'the' 'competence' 'of' 'the'
 'school' 'or' 'the' 'teachers' ',']","[',' 'quarantine' 'improve' 'taught:D' ',' 'competence' 'school' 'teacher'
 ',']","['ADP' 'NOUN' 'PUNCT' 'DET' 'ADJ' 'NOUN' 'AUX' 'AUX' 'VERB' 'CCONJ' 'DET'
 'NOUN' 'AUX' 'ADV' 'AUX' 'ADJ' 'CCONJ' 'ADV' 'PUNCT' 'PRON' 'AUX' 'PART'
 'DET' 'NOUN' 'ADP' 'DET' 'NOUN' 'CCONJ' 'DET' 'NOUN' 'PUNCT']",negative,Negative,", quarantine improve taught:D , competence school teacher
 ,","For example , the whole quarantine could be improved
 and the course will normally be taught:D but
 unfortunately , this is not the competence of the
 school or the teachers ,","ADP NOUN PUNCT DET ADJ NOUN AUX AUX VERB CCONJ DET
 NOUN AUX ADV AUX ADJ CCONJ ADV PUNCT PRON AUX PART
 DET NOUN ADP DET NOUN CCONJ DET NOUN PUNCT"
4921,4921,1469925,97,,konzultace online,['Unknown'],['Online' 'consultation'],['Online' 'consultation'],['ADJ' 'NOUN'],na'],Positive,Online consultation,Online consultation,ADJ NOUN
4924,4924,1457283,83,,výuka je nastavená dobře,['cs'],['the' 'instruction' 'is' 'set' 'well'],['instruction' 'set'],['DET' 'NOUN' 'AUX' 'VERB' 'ADV'],positive,Negative,instruction set,the instruction is set well,DET NOUN AUX VERB ADV
4925,4925,1460332,90,,Překrývala se s látkou z bakalářského studia Aplikované informatiky,['cs'],"['It' 'overlapped' 'with' 'a' 'substance' 'from' 'a' ""Bachelor's"" 'degree'
 'Applied' 'Informatics']","['overlap' 'substance' ""Bachelor's"" 'degree' 'Applied' 'Informatics']","['PRON' 'VERB' 'ADP' 'DET' 'NOUN' 'ADP' 'DET' 'PROPN' 'NOUN' 'PROPN'
 'PROPN']",negative,Neutral,"overlap substance ""Bachelors"" degree Applied Informatics","It overlapped with a substance from a ""Bachelors"" degree
 Applied Informatics","PRON VERB ADP DET NOUN ADP DET PROPN NOUN PROPN
 PROPN"
4928,4928,1455609,83,,Přednášky by mohly být méně zmatené a více zaměřené na věci z praxe.,['cs'],"['Lectures' 'could' 'be' 'less' 'confused' 'and' 'more' 'focused' 'on'
 'things' 'from' 'practice' '.']",['Lectures' 'confused' 'focus' 'thing' 'practice' '.'],"['NOUN' 'AUX' 'AUX' 'ADV' 'ADJ' 'CCONJ' 'ADJ' 'ADJ' 'ADP' 'NOUN' 'ADP'
 'NOUN' 'PUNCT']",negative,Negative,Lectures confused focus thing practice .,"Lectures could be less confused and more focused on
 things from practice .","NOUN AUX AUX ADV ADJ CCONJ ADJ ADJ ADP NOUN ADP
 NOUN PUNCT"
4929,4929,1455617,84,,Pan Michalička se snaží učit věci z praxe.,['cs'],"['Mr' '.' 'Michalička' 'is' 'trying' 'to' 'learn' 'things' 'from'
 'practice' '.']",['Mr' '.' 'Michalička' 'learn' 'thing' 'practice' '.'],"['PROPN' 'PUNCT' 'PROPN' 'AUX' 'VERB' 'PART' 'VERB' 'NOUN' 'ADP' 'NOUN'
 'PUNCT']",positive,Positive,Mr . Michalička learn thing practice .,"Mr . Michalička is trying to learn things from
 practice .","PROPN PUNCT PROPN AUX VERB PART VERB NOUN ADP NOUN
 PUNCT"
4930,4930,1455619,97,,Nahrávání cvičení.,['cs'],['Recording' 'exercises' '.'],['Recording' 'exercise' '.'],['VERB' 'NOUN' 'PUNCT'],negative,Positive,Recording exercise .,Recording exercises .,VERB NOUN PUNCT
4931,4931,1455979,84,,"Na cvičení jsem měla paní Veselou a nemůžu si stěžovat, na průběžné testy nás připravila krásně a opravdu nyní umím ovládat věci, které jaem dříve vůbec neuměla. ",['cs'],"['I' 'had' 'Mrs' '.' 'Vesela' 'for' 'the' 'exercise' 'and' 'I' ""can't""
 'complain' ',' 'she' 'prepared' 'us' 'for' 'the' 'continuous' 'tests'
 'beautifully' 'and' 'I' 'really' 'can' 'control' 'things' 'that' 'I'
 'used' 'to' 'have' 'at' 'all']","['Mrs' '.' 'Vesela' 'exercise' 'complain' ',' 'prepare' 'continuous'
 'test' 'beautifully' 'control' 'thing']","['PRON' 'VERB' 'PROPN' 'PUNCT' 'PROPN' 'ADP' 'DET' 'NOUN' 'CCONJ' 'PRON'
 'VERB' 'VERB' 'PUNCT' 'PRON' 'VERB' 'PRON' 'ADP' 'DET' 'ADJ' 'NOUN' 'ADV'
 'CCONJ' 'PRON' 'ADV' 'AUX' 'VERB' 'NOUN' 'SCONJ' 'PRON' 'VERB' 'PART'
 'VERB' 'ADP' 'ADV']",positive,Positive,"Mrs . Vesela exercise complain , prepare continuous
 test beautifully control thing","I had Mrs . Vesela for the exercise and I ""cant""
 complain , she prepared us for the continuous tests
 beautifully and I really can control things that I
 used to have at all","PRON VERB PROPN PUNCT PROPN ADP DET NOUN CCONJ PRON
 VERB VERB PUNCT PRON VERB PRON ADP DET ADJ NOUN ADV
 CCONJ PRON ADV AUX VERB NOUN SCONJ PRON VERB PART
 VERB ADP ADV"
4932,4932,1455980,95,,"Při přípravě na průběžné testy z wordu a excelu pro mě bylo těžší sledovat, co dělá paní Veselá a zopakovat to u mě v dokumentech. Bylo to neustále překlikávání mezi teams a wordem/excelem, což bylo trochu nepříjemné. ",['cs'],"['When' 'preparing' 'for' 'continuous' 'tests' 'from' 'word' 'and' 'excel'
 'for' 'me' 'it' 'was' 'harder' 'to' 'watch' 'what' 'Mrs' '.' 'Veselá'
 'was' 'doing' 'and' 'repeat' 'it' 'in' 'my' 'documents' '.' 'It' 'was'
 'constantly' 'overclicking']","['prepare' 'continuous' 'test' 'word' 'excel' 'hard' 'watch' 'Mrs' '.'
 'Veselá' 'repeat' 'document' '.' 'constantly' 'overclicking']","['ADV' 'VERB' 'ADP' 'ADJ' 'NOUN' 'ADP' 'NOUN' 'CCONJ' 'NOUN' 'ADP' 'PRON'
 'PRON' 'AUX' 'ADJ' 'PART' 'VERB' 'PRON' 'PROPN' 'PUNCT' 'PROPN' 'AUX'
 'VERB' 'CCONJ' 'VERB' 'PRON' 'ADP' 'PRON' 'NOUN' 'PUNCT' 'PRON' 'AUX'
 'ADV' 'VERB']",negative,Negative,"prepare continuous test word excel hard watch Mrs .
 Veselá repeat document . constantly overclicking","When preparing for continuous tests from word and excel
 for me it was harder to watch what Mrs . Veselá
 was doing and repeat it in my documents . It was
 constantly overclicking","ADV VERB ADP ADJ NOUN ADP NOUN CCONJ NOUN ADP PRON
 PRON AUX ADJ PART VERB PRON PROPN PUNCT PROPN AUX
 VERB CCONJ VERB PRON ADP PRON NOUN PUNCT PRON AUX
 ADV VERB"
4933,4933,1455982,97,,"Určitě přednášky nechat on-line, za mě není rozdíl, zda přednášky poslouchám z domova nebo kvůli nim musím do školy",['cs'],"[""I'm"" 'sure' ""I'll"" 'leave' 'the' 'lectures' 'online' ',' 'but' 'I'
 ""don't"" 'care' 'if' 'I' 'listen' 'to' 'the' 'lectures' 'from' 'home' 'or'
 'because' 'of' 'them' 'I' 'have' 'to' 'go' 'to' 'school']","['leave' 'lecture' 'online' ',' 'care' 'listen' 'lecture' 'home' 'school']","['PROPN' 'ADJ' 'PROPN' 'VERB' 'DET' 'NOUN' 'ADV' 'PUNCT' 'CCONJ' 'PRON'
 'VERB' 'NOUN' 'SCONJ' 'PRON' 'VERB' 'ADP' 'DET' 'NOUN' 'ADP' 'NOUN'
 'CCONJ' 'NOUN' 'ADP' 'PRON' 'PRON' 'VERB' 'PART' 'VERB' 'ADP' 'NOUN']",positive,Positive,"leave lecture online , care listen lecture home school","Im"" sure ""Ill"" leave the lectures online , but I
 ""dont"" care if I listen to the lectures from home or
 because of them I have to go to school","PROPN ADJ PROPN VERB DET NOUN ADV PUNCT CCONJ PRON
 VERB NOUN SCONJ PRON VERB ADP DET NOUN ADP NOUN
 CCONJ NOUN ADP PRON PRON VERB PART VERB ADP NOUN"
4934,4934,1456189,83,,"Nevím, osobně mi předmět přijde zbytečný.",['cs'],"['I' ""don't"" 'know' ',' 'personally' ',' 'the' 'subject' 'seems'
 'pointless' '.']","[',' 'personally' ',' 'subject' 'pointless' '.']","['PRON' 'AUX' 'VERB' 'PUNCT' 'ADV' 'PUNCT' 'DET' 'NOUN' 'VERB' 'ADJ'
 'PUNCT']",negative,Negative,", personally , subject pointless .","I ""dont"" know , personally , the subject seems
 pointless .","PRON AUX VERB PUNCT ADV PUNCT DET NOUN VERB ADJ
 PUNCT"
4935,4935,1456193,84,,nic,['Unknown'],['Nothing'],[],['PRON'],positive,Positive,,Nothing,PRON
4937,4937,1479847,90,,První část s funkcemi excelu bylo takové opakování informatiky z prvního semestru.,['cs'],"['The' 'first' 'part' 'with' 'excel' 'functions' 'was' 'a' 'repetition'
 'of' 'computer' 'science' 'from' 'the' 'first' 'semester' '.']","['part' 'excel' 'function' 'repetition' 'computer' 'science' 'semester'
 '.']","['DET' 'ADJ' 'NOUN' 'ADP' 'NOUN' 'NOUN' 'AUX' 'DET' 'NOUN' 'ADP' 'NOUN'
 'NOUN' 'ADP' 'DET' 'ADJ' 'NOUN' 'PUNCT']",positive,Neutral,"part excel function repetition computer science semester
 .","The first part with excel functions was a repetition
 of computer science from the first semester .","DET ADJ NOUN ADP NOUN NOUN AUX DET NOUN ADP NOUN
 NOUN ADP DET ADJ NOUN PUNCT"
